antecedent,consequent,fitness,support,confidence,lift,coverage,rhs_support,conviction,amplitude,inclusion,interestingness,comprehensibility,netconf,yulesq
"[restecg(0), thalach([94, 192]), thal([0, 3]), slope(1)]","[ca([1, 4]), age([66, 77])]",0.06045767021376777,0.024390243902439025,0.09652509652509653,1.413403199117485,0.2526829268292683,0.06829268292682927,1.0312486971023553,0.5454569550466497,0.42857142857142855,0.034472428455601736,0.5645750340535797,0.03777836023266832,0.2624759236561023
"[thal(3), target([0, 1]), fbs([0, 1]), thalach([140, 161]), slope(2), sex([0, 1])]",[cp(2)],0.05897018970189702,0.006829268292682927,0.1111111111111111,0.40101721439749605,0.06146341463414634,0.27707317073170734,0.8132926829268291,0.5485278080697928,0.5,0.002738635900271747,0.33333333333333337,-0.17683067683067683,-0.5277490520510169
"[sex([0, 1]), exang([0, 1])]","[slope([1, 2]), trestbps([96, 119]), thal(3)]",0.05658536585365854,0.05658536585365854,0.05658536585365854,1.0,1.0,0.05658536585365854,0.9999999999999998,0.45660377358490567,0.35714285714285715,0.056582242045240205,0.7737056144690831,0.0,0.0
"[fbs(1), slope([1, 2]), thal(3), thalach([96, 152])]","[cp([1, 2])]",0.05503484320557491,0.002926829268292683,0.10714285714285714,0.2435064935064935,0.027317073170731707,0.44,0.6271999999999999,0.7478371501272265,0.35714285714285715,0.0007126998971342495,0.3868528072345416,-0.34220518698953994,-0.7435977270958201
"[thalach([139, 162]), target([0, 1]), thal(2), sex(0), cp([0, 1]), slope(2)]","[chol([323, 337])]",0.05503484320557491,0.002926829268292683,0.10714285714285714,3.7869458128078817,0.027317073170731707,0.02829268292682927,1.0883121951219508,0.7798758110375804,0.5,0.011083712193363671,0.33333333333333337,0.0810646224387448,0.6351389278697727
"[oldpeak([1.199315317155312, 4.446506109527383])]","[thalach([150, 180]), cp([2, 3]), chol([223, 323])]",0.05435067619441328,0.03121951219512195,0.0774818401937046,0.6204600484261501,0.4029268292682927,0.1248780487804878,0.9486230074899172,0.6714020201032959,0.2857142857142857,0.01936987006177863,0.8613531161467861,-0.07938090490433461,-0.3779385171790235
"[slope([1, 2])]","[exang([0, 1]), thal(1)]",0.05371906337359904,0.05170731707317073,0.05573080967402734,0.892563748685594,0.9278048780487805,0.0624390243902439,0.9928958661524251,0.5,0.21428571428571427,0.04614974856611688,0.7924812503605781,-0.09291783897462118,-0.49474162064008476
"[sex([0, 1])]","[fbs(1), cp([0, 2]), thal(2), exang([0, 1])]",0.05365853658536585,0.05365853658536585,0.05365853658536585,1.0,1.0,0.05365853658536585,0.9999999999999998,0.4666666666666667,0.35714285714285715,0.05365572757214782,0.8982444017039272,0.0,0.0
"[sex(1), exang([0, 1]), thal(3), ca([0, 4])]","[fbs([0, 1]), target(1), trestbps([133, 200]), age([29, 77])]",0.052874222859875655,0.027317073170731707,0.0784313725490196,0.4101640656262506,0.34829268292682924,0.19121951219512195,0.8776128697457185,0.4209905660377359,0.5714285714285714,0.011204183184279064,0.7324867603589634,-0.17306563343900427,-0.5957962813257882
[fbs(1)],"[oldpeak([0.10694528405941893, 5.236641686852563]), cp(2), exang([0, 1]), thalach([78, 150])]",0.05258090227961103,0.013658536585365854,0.0915032679738562,1.1034217608612071,0.14926829268292682,0.08292682926829269,1.0094402526759079,0.5246022583684063,0.35714285714285715,0.015070925660999372,0.8982444017039272,0.010081249625232346,0.06379547502727316
"[target(1), ca([2, 3])]","[restecg(1), oldpeak([1.98430917347957, 6.2])]",0.051463414634146346,0.002926829268292683,0.1,1.4855072463768115,0.02926829268292683,0.06731707317073171,1.0363143631436311,0.7675124666725632,0.2857142857142857,0.004347813671986137,0.6826061944859854,0.0336683417085427,0.21996060407091267
"[sex(1), thal(3)]","[thalach([118, 183]), target([0, 1]), age([67, 72])]",0.05098585775773724,0.026341463414634145,0.07563025210084033,1.3139153966671413,0.34829268292682924,0.0575609756097561,1.0195476718403544,0.6799300254452926,0.35714285714285715,0.03460956489755684,0.7737056144690831,0.027726060484073854,0.23842492427520554
"[target(1), sex([0, 1])]","[restecg(1), exang(1)]",0.05034313270889363,0.03414634146341464,0.06653992395437262,0.45468948035487966,0.5131707317073171,0.14634146341463414,0.9145099597635484,0.75,0.2857142857142857,0.01552546503115036,0.6826061944859854,-0.16392099788931463,-0.6154781489163865
"[trestbps([104, 200]), exang([0, 1]), sex(1)]","[thal(3), target(1), ca([0, 1]), age([29, 77]), fbs([0, 1]), restecg([1, 2])]",0.04828917353921741,0.03902439024390244,0.05755395683453238,1.1798561151079134,0.6780487804878049,0.04878048780487805,1.0093092533978771,0.48270440251572333,0.6428571428571429,0.04604141248571636,0.8450980400142567,0.02725092653150203,0.32299741602067183
"[sex(1), age([29, 72]), target(1)]","[slope([0, 1]), exang(1)]",0.04739837398373984,0.021463414634146343,0.07333333333333333,0.29134366925064603,0.2926829268292683,0.25170731707317073,0.807510089489384,0.7208333333333332,0.35714285714285715,0.006253099032045341,0.6131471927654585,-0.2521839080459769,-0.7182515779273498
